id,event_id,admin_profile_id,external_email,external_name,attendance_status,notification_sent,notification_sent_at,created_at
1,1,4,,,invited,false,,2025-11-11 11:12:50
2,1,5,,,invited,false,,2025-11-11 11:12:50
3,1,6,,,invited,false,,2025-11-11 11:12:50
4,1,7,,,invited,false,,2025-11-11 11:12:50
5,1,8,,,invited,false,,2025-11-11 11:12:50
6,1,9,,,invited,false,,2025-11-11 11:12:50
7,1,10,,,invited,false,,2025-11-11 11:12:50
8,1,11,,,invited,false,,2025-11-11 11:12:50
9,1,12,,,invited,false,,2025-11-11 11:12:50
10,1,13,,,invited,false,,2025-11-11 11:12:50
11,5,1,,,invited,false,,2025-11-13 14:10:39
12,5,2,,,invited,false,,2025-11-13 14:10:39
13,5,3,,,invited,false,,2025-11-13 14:10:39
14,5,4,,,invited,false,,2025-11-13 14:10:39
15,5,5,,,invited,false,,2025-11-13 14:10:39
16,5,6,,,invited,false,,2025-11-13 14:10:39
17,5,7,,,invited,false,,2025-11-13 14:10:39
18,5,8,,,invited,false,,2025-11-13 14:10:39
19,5,9,,,invited,false,,2025-11-13 14:10:39
20,5,10,,,invited,false,,2025-11-13 14:10:39
21,5,11,,,invited,false,,2025-11-13 14:10:39
22,5,12,,,invited,false,,2025-11-13 14:10:39
23,5,13,,,invited,false,,2025-11-13 14:10:39
24,7,1,,,invited,false,,2025-11-13 18:03:29
25,7,2,,,invited,false,,2025-11-13 18:03:29
26,7,3,,,invited,false,,2025-11-13 18:03:29
27,7,4,,,invited,false,,2025-11-13 18:03:29
28,7,5,,,invited,false,,2025-11-13 18:03:29
29,7,6,,,invited,false,,2025-11-13 18:03:29
30,7,7,,,invited,false,,2025-11-13 18:03:29
31,7,8,,,invited,false,,2025-11-13 18:03:29
32,7,9,,,invited,false,,2025-11-13 18:03:29
33,7,10,,,invited,false,,2025-11-13 18:03:29
34,7,11,,,invited,false,,2025-11-13 18:03:29
35,7,12,,,invited,false,,2025-11-13 18:03:29
36,7,13,,,invited,false,,2025-11-13 18:03:29
